"植生区分コード","群落コード","群落名","集約群落コード","自然度コード"
"01","10100","高山低木群落","10100","09"
"01","10100A","高山低木群落","10100","09"
"01","10101B","コケモモ－ハイマツ群集","10100","09"
"01","10101C","ハイマツ－コケモモ群集","10100","09"
"01","10102D","ミネヤナギ群落","10100","09"
"01","10102E","ミヤマハンノキ群落","10100","09"
"01","10200","高山ハイデ及び風衝草原","10200","10"
"01","10200A","高山ハイデ及び風衝草原","10200","10"
"01","10200D","エゾマメヤナギ－エゾオヤマノエンドウ群集","10200","10"
"01","10200G","イタドリ－コメススキ群落","10200","10"
"01","10201B","コメバツガザクラ－ミネズオウ群集","10200","10"
"01","10202E","オヤマノエンドウ－ヒゲハリスゲ群集","10200","10"
"01","10203C","コマクサ－イワツメクサクラス","10200","10"
"01","10203H","イワツメクサ群落","10200","10"
"01","10204I","フジハタザオ－オンタデ群集","10200","10"
"01","10205F","イワオウギ－タイツリオウギ群集","10200","10"
"01","10300","雪田草原","10300","10"
"01","10300A","ミヤマクロスゲ－チシマクモマグサ群集","10300","10"
"01","10300B","エゾツガザクラ－チングルマ群落","10300","10"
"01","10300D","トカチフウロ亜群集","10300","10"
"01","10300E","エゾコザクラ亜群集","10300","10"
"01","10300F","アオノツガザクラ亜群集","10300","10"
"01","10300G","ミヤマキンポウゲ群落","10300","10"
"01","10300H","バイケイソウ－ミヤマイ群落","10300","10"
"01","10300J","ミヤマイ群集","10300","10"
"01","10300M","雪田植生","10300","10"
"01","10301I","タカネヤハズハハコ－アオノツガザクラ群集","10300","10"
"01","10301L","アオノツガザクラ群団","10300","10"
"01","10302C","ミヤマイ－ハクサンボウフウ群集","10300","10"
"01","10304K","ショウジョウスゲ－イワイチョウ群集","10300","10"
"02","20100","エゾマツ－トドマツ群集","20100","09"
"02","20200","アカエゾマツ群集","20200","09"
"02","20300","イチイ－トドマツ群集","20300","09"
"02","20400","エゾマツ－ダケカンバ群落","20400","09"
"02","20500","シラビソ－トウヒ群団","20500","09"
"02","20501","オオシラビソ群集","20501","09"
"02","20501A","オオシラビソ群集","20501","09"
"02","20501B","アオモリトドマツ群落","20501","09"
"02","20501C","オオシラビソ－ブナ群落","20501","09"
"02","20502","シラビソ－オオシラビソ群集","20502","09"
"02","20502A","シラビソ－オオシラビソ群集","20502","09"
"02","20502B","シコクシラベ群集","20502","09"
"02","20503","コメツガ群落","20503","09"
"02","20503A","コメツガ群落","20503","09"
"02","20600","ササ－ダケカンバ群落","20600","09"
"02","20600A","ササ－ダケカンバ群落","20600","09"
"02","20600B","ダケカンバ－ササ群落","20600","09"
"02","20700","カラマツ群落","20700","09"
"02","20800","ミドリユキザサ－ダケカンバ群団","20800","09"
"02","20800A","ミドリユキザサ－ダケカンバ群団","20800","09"
"02","20800B","ダケカンバ－ハイマツ群落","20800","09"
"02","20800C","ダケカンバ－イワノガリヤス群落","20800","09"
"02","20800D","ミヤマハンノキ－ダケカンバ群落","20800","09"
"02","20800E","ミヤマハンノキ群落","20800","09"
"02","20800F","ミヤマハンノキ－ダケカンバ群集","20800","09"
"02","20900","キャラボク群落","20900","09"
"02","21001","シナノキンバイ－ミヤマキンポウゲ群団","21001","09"
"02","21001A","シナノキンバイ－ミヤマキンポウゲ群団","21001","09"
"02","21001B","シナノキンバイ－ミヤマキンポウゲ群落","21001","09"
"02","21100","ササ自然草原","21100","10"
"02","21100A","ササ自然草原","21100","10"
"02","21100B","チシマザサ－オクノカンスゲ群集","21100","10"
"02","21100D","ササ群落","21100","10"
"02","21101C","チシマザサ群落","21100","10"
"02","21300","ウラジロヨウラク－ミヤマナラ群団","21300","09"
"02","21300A","ウラジロヨウラク－ミヤマナラ群団","21300","09"
"02","21300B","ミヤマナラ群落","21300","09"
"02","21300C","ナナカマド－ミネカエデ群落","21300","09"
"02","21400","オオシラビソ－ダケカンバ林","21400","09"
"03","30100","ササ群落","30100","05"
"03","30100A","ササ群落","30100","05"
"03","30100B","チシマザサ二次群落","30100","05"
"03","30101C","チシマザサ群落","30100","05"
"03","30102D","クマイザサ群落","30100","05"
"03","30200","ヒゲノガリヤス群落","30200","05"
"03","30300","伐跡群落","30300","04"
"03","30300A","伐跡群落","30300","04"
"03","30300B","伐採跡群落","30300","04"
"03","30300C","伐採跡地に成立した二次林","30301","07"
"03","30400","ダケカンバ群落","30400","08"
"04","40100","チシマザサ－ブナ群団","40100","09"
"04","40100A","チシマザサ－ブナ群団","40100","09"
"04","40100B","ブナ－チシマザサ群落","40100","09"
"04","40100C","ブナ－チシマザサ群集","40100","09"
"04","40100D","オオシラビソ－ブナ群落","40100","09"
"04","40101","ヒメアオキ－ブナ群集","40101","09"
"04","40102","クロモジ－ブナ群集","40102","09"
"04","40103","マルバマンサク－ブナ群集","40103","09"
"04","40104","スギ－ブナ群落","40104","09"
"04","40200","スズタケ－ブナ群団","40200","09"
"04","40200A","スズタケ－ブナ群団","40200","09"
"04","40200B","ブナ－スズタケ群団","40200","09"
"04","40201","ヤマボウシ－ブナ群集","40201","09"
"04","40201A","ヤマボウシ－ブナ群集","40201","09"
"04","40201B","ブナ－ツクバネウツギ群集","40201","09"
"04","40201C","ブナ－ミヤコザサ群集","40201","09"
"04","40201D","ブナ－ヤマボウシ群集","40201","09"
"04","40202","ツクシシャクナゲ－ブナ群集","40202","09"
"04","40202A","ツクシシャクナゲ－ブナ群集","40202","09"
"04","40202B","ブナ－ツクシシャクナゲ群集","40202","09"
"04","40202C","オオマルバノテンニンソウ－ブナ群落","40202","09"
"04","40203","イヌブナ群集","40203","09"
"04","40203A","イヌブナ群集","40203","09"
"04","40203B","イヌブナ－チャボガヤ群集","40203","09"
"04","40203C","イヌブナ群落","40203","09"
"04","40203D","コハクウンボク－イヌブナ群集","40203","09"
"04","40204","オオモミジガサ－ブナ群集","40204","09"
"04","40204B","ブナ－オオモミジガサ群集","40204","09"
"04","40208","ツガ－コカンスゲ群集","40208","09"
"04","40208B","アケボノツツジ－ツガ群集","40208","09"
"04","40210C","ブナ－スズタケ群集","40200","09"
"04","40214","シラキ－ブナ群集","40214","09"
"04","40214A","シラキ－ブナ群集","40214","09"
"04","40214B","コハウチワカエデ－ケクロモジ群落","40214","09"
"04","40214C","コミネカエデ－ナナカマド群集","40214","09"
"04","40300","エゾイタヤ－シナノキ群落","40300","09"
"04","40300A","エゾイタヤ－シナノキ群落","40300","09"
"04","40300B","ミズナラ群落","40300","09"
"04","40300C","エゾイタヤ群落","40300","09"
"04","40300D","エゾイタヤ－シナノキ群集","40300","09"
"04","40400","ウラジロモミ群落","40400","09"
"04","40500","ヒノキアスナロ群落","40500","09"
"04","40500A","ヒノキアスナロ群落","40500","09"
"04","40501B","アスナロ群落","40500","09"
"04","40600","ヒノキ群落","40600","09"
"04","40600A","ヒノキ群落","40600","09"
"04","40601C","ヒノキ－シノブカグマ群集","40600","09"
"04","40602B","ヒノキ－シャクナゲ群集","40600","09"
"04","40700","クロベ－ヒメコマツ群落","40700","09"
"04","40700A","クロベ－ヒメコマツ群落","40700","09"
"04","40700C","アカミノイヌツゲ－クロベ群集","40700","09"
"04","40700D","キタゴヨウ－クロベ群落","40700","09"
"04","40700E","ヒメコマツ－クロベ群落","40700","09"
"04","40700F","クロベ群落","40700","09"
"04","40700G","クロベ－キタゴヨウ群落","40700","09"
"04","40702B","ヒメコマツ群落","40700","09"
"04","40800","アカマツ群落","40800","09"
"04","40800B","アカマツ－ヒメコマツ群落","40800","09"
"04","40900","ジュウモンジシダ－サワグルミ群集","40900","09"
"04","40900A","ジュウモンジシダ－サワグルミ群集","40900","09"
"04","40900B","サワグルミ－ジュウモンジシダ群集","40900","09"
"04","40900C","ジュウモンジシダ－サワグルミ群落","40900","09"
"04","40900D","オニグルミ群落","40900","09"
"04","40900E","サワグルミ－カツラ群落","40900","09"
"04","40900F","サワグルミ群団","40900","09"
"04","41000","ミヤマクマワラビ－シオジ群集","41000","09"
"04","41000A","ミヤマクマワラビ－シオジ群集","41000","09"
"04","41000B","シオジ－ミヤマクマワラビ群集","41000","09"
"04","41100","ハルニレ群集","41100","09"
"04","41100A","ハルニレ群集","41100","09"
"04","41100B","ハルニレ群落","41100","09"
"04","41200","ヤナギ高木群落","41200","09"
"04","41200A","ヤナギ高木群落","41200","09"
"04","41200B","ヤナギ高木林","41200","09"
"04","41201","ドロノキ－オオバヤナギ群落","41201","09"
"04","41201A","ドロノキ－オオバヤナギ群落","41201","09"
"04","41201B","オオバヤナギ－ドロノキ群集","41201","09"
"04","41201C","ドロノキ－オオバヤナギ群集","41201","09"
"04","41202","ケショウヤナギ群落","41202","09"
"04","41203","シロヤナギ群集","41203","09"
"04","41203B","シロヤナギ群集","41203","09"
"04","41300","ヤナギ低木群落","41300","09"
"04","41300A","ヤナギ低木群落","41300","09"
"04","41300B","ヤナギ低木林","41300","09"
"04","41400","ハンノキ－ヤチダモ群集","41400","09"
"04","41400A","ハンノキ－ヤチダモ群集","41400","09"
"04","41400B","ヤチダモ－ハシドイ群落","41400","09"
"04","41400C","ヤチダモ群落","41400","09"
"04","41400D","ヤチダモ－ハシドイ群集","41400","09"
"04","41500","ハンノキ群落","41500","09"
"04","41600","ヤマハンノキ群落","41600","09"
"04","41700","自然低木群落","41700","09"
"04","41700A","自然低木群落","41700","09"
"04","41700B","自然低木林","41700","09"
"04","41700C","山地低木林","41700","09"
"04","41701B","ミズナラ－リョウブ群集","43000","09"
"04","41701C","ヤマボウシ群落","43000","09"
"04","41702","カシワ群落","41702","09"
"04","41703","ヒメヤシャブシ－タニウツギ群落","41703","09"
"04","41703A","ヒメヤシャブシ－タニウツギ群落","41703","09"
"04","41703B","ダイセンヤナギ－タニウツギ群落","41703","09"
"04","41704","ミヤマキリシマ－マイズルソウ群集","41704","09"
"04","41704B","ミヤマキリシマ群落","41704","09"
"04","41705","コメツツジ群落","41705","09"
"04","41709","ヤシャブシ群落","41709","09"
"04","41800","自然草原","41800","10"
"04","41800A","自然草原","41800","10"
"04","41800B","風衝草原","41800","10"
"04","41800C","高茎草原","41800","10"
"04","41800D","ミクラザサ群落","41800","10"
"04","41801","フジアカショウマ－シモツケソウ群集","41801","10"
"04","41802","フジアザミ－ヤマホタルブクロ群集","41802","10"
"04","41803","シマノガリヤス－シマキンレイカ群集","41803","10"
"04","41806","オオヨモギ－オオイタドリ群団","41806","10"
"04","41806B","山地帯高茎草原","41806","10"
"04","41900","イヌシデ－アカシデ自然林","41900","09"
"04","41900A","イヌシデ－アカシデ自然林","41900","09"
"04","41900B","イヌシデ－アカシデ群落","41900","09"
"04","42000","イワシデ群落","42000","09"
"04","42002B","オオヒメツゲ－サイゴクイボタ群集","42000","09"
"04","42400","イタドリ－コメススキ群落","42400","10"
"04","42400A","イタドリ－コメススキ群落","42400","10"
"04","42400B","火山荒原及び硫気孔原植生","42400","10"
"04","42500","ケヤキ群落","42500","09"
"04","42500A","ケヤキ群落","42500","09"
"04","42500D","ヒメウワバミソウ－ケヤキ群集","42500","09"
"04","42502C","アサガラ－コクサギ群落","42500","09"
"04","42600","下部針広混交林","42600","09"
"04","42700","スギ－ツガ群落","42700","09"
"04","42800","オオイタヤメイゲツ－ミヤマカタバミ群落","42800","09"
"04","42800B","オオイタヤメイゲツ－ミヤマカタバミ群集","42800","09"
"04","42900","ヒノキアスナロ群落及びクロベ－キタゴヨウ群落","42900","09"
"04","43000","ミズナラ－リョウブ群落","43000","09"
"04","43000A","ミズナラ－リョウブ群落","43000","09"
"04","43000D","リョウブ－ミズナラ群落","43000","09"
"04","43100","ヤマグルマ群落","43100","09"
"04","43100B","ヤマグルマ－ヒカゲツツジ群落","43100","09"
"04","43300","ウラジロモミ－コメツガ群落","43300","09"
"04","43300B","ウラジロモミ－コメツガ群落、ハリモミ群落","43300","09"
"04","43400","フサザクラ－タマアジサイ群集","43400","10"
"04","43400B","タマアジサイ－フサザクラ群集、ヤシャブシ群落","43400","10"
"04","43500","岩ぺき植生","43500","10"
"04","43600","シロモジ－ノリウツギ群落","43600","09"
"04","43700","石灰岩植生","43700","09"
"05","50100","ブナ－ミズナラ群落","50100","08"
"05","50100A","ブナ－ミズナラ群落","50100","08"
"05","50100B","ウダイカンバ群落","50100","08"
"05","50200","カシワ－ミズナラ群落","50200","08"
"05","50200A","カシワ－ミズナラ群落","50200","08"
"05","50200B","ミズナラ－カシワ－コナラ群落","50200","08"
"05","50200C","カシワ群落","50200","08"
"05","50300","クリ－ミズナラ群落","50300","07"
"05","50300A","クリ－ミズナラ群落","50300","07"
"05","50300B","ミズナラ－クリ群落","50300","07"
"05","50300D","シロモジ群集","50300","07"
"05","50300E","ミズナラ群落","50300","07"
"05","50300F","コナラ群落","50300","07"
"05","50300G","リョウブ群落","50300","07"
"05","50300H","ヘビノネゴザ群落","50300","07"
"05","50300I","クリ－ミズナラ群落及びカスミザクラ－コナラ群落","50300","07"
"05","50300J","リョウブ－ミズナラ群落","50300","07"
"05","50302C","カスミザクラ－コナラ群落","50300","07"
"05","50400","アカシデ－イヌシデ群落","50400","07"
"05","50400A","アカシデ－イヌシデ群落","50400","07"
"05","50400B","イヌシデ－アカシデ群落","50400","07"
"05","50400E","クマシデ－コガクウツギ群集","50400","07"
"05","50400F","アカシデ群落","50400","07"
"05","50400G","スズタケ－アカシデ群落","50400","07"
"05","50403D","クマシデ群落","50400","07"
"05","50500","シラカンバ群落","50500","07"
"05","50500A","シラカンバ群落","50500","07"
"05","50501B","シラカンバ－ササ群落","50500","07"
"05","50502C","シラカンバ－レンゲツツジ群落","50500","07"
"05","50502D","レンゲツツジ－シラカンバ群落","50500","07"
"05","50600","アカマツ群落","50600","07"
"05","50600A","アカマツ群落","50600","07"
"05","50600B","アカマツ二次群落","50600","07"
"05","50700","ニシキウツギ－ノリウツギ群落","50700","07"
"05","50700A","ニシキウツギ－ノリウツギ群落","50700","07"
"05","50700B","タニウツギ－ノリウツギ群落","50700","07"
"05","50700C","ノリウツギ－タニウツギ群落","50700","07"
"05","50800","ツクシウツギ－ノリウツギ群落","50800","05"
"05","50800A","ツクシウツギ－ノリウツギ群落","50800","05"
"05","50800B","ノリウツギ－ヤマカモジグサ群集","50800","05"
"05","50900","ササ草原","50900","05"
"05","50900A","ササ草原","50900","05"
"05","50900E","スズタケ群落","50900","05"
"05","50901B","ミヤコザサ群落","50900","05"
"05","50902C","チシマザサ－クマイザサ群落","50900","05"
"05","50903D","ハコネダケ群落","50900","05"
"05","50905F","チマキザサ群落","50900","05"
"05","51000","ススキ群団","51000","05"
"05","51000A","ススキ群団","51000","05"
"05","51000B","ススキ草原","51000","05"
"05","51000C","ススキ群落","51000","05"
"05","51000H","ススキ－キオン群落","51000","05"
"05","51000I","ススキ群団、ススキ－ホクチアザミ群落","51000","05"
"05","51001D","ススキ－エゾヤマハギ群落","51000","05"
"05","51002E","カワラマツバ－ススキ群落","51000","05"
"05","51003F","ススキ－ホクチアザミ群落","51000","05"
"05","51004K","ススキ－ヤマトラノオ群落","51000","05"
"05","51005G","ススキ－ミヤマキリシマ群落","51000","05"
"05","51008","ノハナショウブ－ススキ群集","51008","05"
"05","51009J","ススキ－ダイセンミツバツツジ群落","51000","05"
"05","51100","シバ群団","51100","04"
"05","51100A","シバ群団","51100","04"
"05","51100B","シバ草原","51100","04"
"05","51200","ナガハグサ群落","51200","04"
"05","51400","伐跡群落","51400","04"
"05","51400A","伐跡群落","51400","04"
"05","51400C","伐採跡地に成立した二次林","51401","07"
"05","51400D","伐採跡群落","51400","04"
"05","51400F","伐跡群集","51400","04"
"05","51400G","ナガバモミジイチゴ－クマイチゴ群落","51400","04"
"05","51402B","タラノキ－クマイチゴ群落","51400","04"
"05","51500","オオアワダチソウ－オオハンゴンソウ群落","51500","02"
"05","51600","コウヤマキ群落","51600","07"
"05","51700","ハシドイ群落","51700","07"
"05","51800","ススキ群団及びシバ群団","51800","04"
"05","51900","クズ群落","51900","04"
"05","52000","スギ－落葉広葉樹林群落","52000","07"
"05","52100","種々草原","52100","05"
"05","52200","カナクギノキ－ツクシヤブウツギ群落","52200","07"
"05","52300","ヤマヤナギ－ツクシヤブウツギ群団","52300","07"
"06","60100","モミ－シキミ群集","60100","09"
"06","60100A","モミ－シキミ群集","60100","09"
"06","60100B","シキミ－モミ群集","60100","09"
"06","60100C","スギ群落","60100","09"
"06","60100E","スギ天然林","60100","09"
"06","60100F","ヒメコマツ群落","60100","09"
"06","60100G","モミ林","60100","09"
"06","60100H","コガクウツギ－モミ群集","60100","09"
"06","60202","ツガ－ハイノキ群集","60202","09"
"06","60202A","ツガ－ハイノキ群集","60202","09"
"06","60202B","ハイノキ－ツガ群落","60202","09"
"06","60202C","ツガ－トガサワラ群落","60202","09"
"06","60202D","ツガ－コカンスゲ群集","60202","09"
"06","60202E","コカンスゲ－ツガ群集","60202","09"
"06","60202F","ツガ群落","60202","09"
"06","60202G","ハイノキ－ツガ群集","60202","09"
"06","60300","ヒメアオキ－ウラジロガシ群集","60300","09"
"06","60300B","ウラジロガシ－ヒメアオキ群集","60300","09"
"06","60400","サカキ－ウラジロガシ群集","60400","09"
"06","60400A","サカキ－ウラジロガシ群集","60400","09"
"06","60400B","ウラジロガシ－サカキ群集","60400","09"
"06","60400C","サカキ－ウラジロガシ群落","60400","09"
"06","60401","イスノキ－ウラジロガシ群集","60401","09"
"06","60401A","イスノキ－ウラジロガシ群集","60401","09"
"06","60401B","アカガシ群落","60401","09"
"06","60404C","アカガシ－ミヤマシキミ群集","60401","09"
"06","60404E","ミヤマシキミ－アカガシ群集","60401","09"
"06","60405D","イスノキ－イワヤナギシダ群落","60401","09"
"06","60500","ケヤキ群落","60500","09"
"06","60500A","ケヤキ群落","60500","09"
"06","60500C","ケヤキ－チャボガヤ群集","60500","09"
"06","60500D","ケヤキ－コウヤワラビ群集","60500","09"
"06","60500E","ムクノキ－エノキ群落","60500","09"
"06","60500F","エノキ－ムクノキ群落","60500","09"
"06","60500G","ケヤキ－ムクノキ群集","60500","09"
"06","60500H","ヒメウワバミソウ－ケヤキ群集","60500","09"
"06","60500I","ミズキ－ウリノキ群落","60500","09"
"06","60500J","コクサギ－ケヤキ群集","60500","09"
"06","60501B","ケヤキ－イロハモミジ群集","60500","09"
"06","60501K","イロハモミジ－ケヤキ群集","60500","09"
"06","60600","アラカシ群落","60600","09"
"06","60600A","アラカシ群落","60600","09"
"06","60600B","アラカシ－ジャノヒゲ群集","60600","09"
"06","60601","アラカシ－ナンテン群集","60601","09"
"06","60602","アマミアラカシ群落","60602","09"
"06","60700","マテバシイ群落","60700","09"
"06","60800","イチイガシ群落","60800","09"
"06","60800A","イチイガシ群落","60800","09"
"06","60800B","イチイガシ群集","60800","09"
"06","60800C","ルリミノキ－イチイガシ群集","60800","09"
"06","60800D","ルリミノキ－イチイガシ群集ハナガガシ亜群集","60800","09"
"06","60900","シラカシ群集","60900","09"
"06","60900A","シラカシ群集","60900","09"
"06","60900B","シラカシ群落","60900","09"
"06","60900C","ツクバネガシ－シラカシ群集","60900","09"
"06","61000","サカキ－コジイ群集","61000","09"
"06","61000A","サカキ－コジイ群集","61000","09"
"06","61000B","シイ－カナメモチ群集","61000","09"
"06","61000D","シイ－トキワイカリソウ群集","61000","09"
"06","61000E","ツブラジイ－サカキ群集","61000","09"
"06","61000F","サカキ－コジイ群落","61000","09"
"06","61000G","コジイ－カナメモチ群集","61000","09"
"06","61000H","コジイ－クロバイ群集","61000","09"
"06","61000I","シロバイ－コジイ群落","61000","09"
"06","61100","シイモチ－シリブカガシ群集","61100","09"
"06","61100B","シリブカガシ群落","61100","09"
"06","61200","ホルトノキ群落","61200","09"
"06","61200A","ホルトノキ群落","61200","09"
"06","61200B","ムクノキ－ホルトノキ群落","61200","09"
"06","61300","スタジイ群落","61300","09"
"06","61300A","スタジイ群落","61300","09"
"06","61300B","コジイ群落","61300","09"
"06","61301","ヤブコウジ－スダジイ群集","61301","09"
"06","61301A","ヤブコウジ－スダジイ群集","61301","09"
"06","61301B","スダジイ－ヤブコウジ群集","61301","09"
"06","61301C","ヤブコウジ－スダジイ群落","61301","09"
"06","61302","ミミズバイ－スダジイ群集","61302","09"
"06","61302A","ミミズバイ－スダジイ群集","61302","09"
"06","61302B","スダジイ－ミミズバイ群集","61302","09"
"06","61302C","スダジイ－タイミンタチバナ群集","61302","09"
"06","61303","スダジイ－オオシマカンスゲ群集","61303","09"
"06","61303A","スダジイ－オオシマカンスゲ群集","61303","09"
"06","61303B","噴火の被害が軽微なスダジイ－オオシマカンスゲ群集","61303","09"
"06","61303C","噴火の被害が激甚なスダジイ林","61303","09"
"06","61304","ホソバカナワラビ－スダジイ群集","61304","09"
"06","61304A","ホソバカナワラビ－スダジイ群集","61304","09"
"06","61304B","スダジイ－ホソバカナワラビ群集","61304","09"
"06","61305","リュウキュウアオキ－スダジイ群集","61305","09"
"06","61306","アマミテンナンショウ－スダジイ群集","61306","09"
"06","61307","ケハダルリミノキ－スダジイ群集","61307","09"
"06","61308","オキナワシキミ－スダジイ群集","61308","09"
"06","61309","アオバナハイノキ－スダジイ群集","61309","09"
"06","61310","ヤクシマアジサイ－スダジイ群集","61310","09"
"06","61311","オキナワウラジロガシ群集","61311","09"
"06","61312","ヤマグルマ－ユズリハ群集","61312","09"
"06","61314","ケナガエサカキ－スダジイ群集","61314","09"
"06","61315","ヤワラケガキ－スダジイ群集","61315","09"
"06","61315B","ヤワラケガキ－スダジイ群落","61315","09"
"06","61316","スダジイ－トキワイカリソウ群集","61316","09"
"06","61400","タブ群落","61400","09"
"06","61400A","タブ群落","61400","09"
"06","61400B","タブノキ群落","61400","09"
"06","61400C","タブ－ヤブニッケイ群落","61400","09"
"06","61400D","タブ－ハドノキ群落","61400","09"
"06","61400E","噴火の被害が激甚なタブ林","61400","09"
"06","61401","イノデ－タブ群集","61401","09"
"06","61401A","イノデ－タブ群集","61401","09"
"06","61401B","タブ－イノデ群集","61401","09"
"06","61402","ムサシアブミ－タブ群落","61402","09"
"06","61402A","ムサシアブミ－タブ群落","61402","09"
"06","61402B","タブ－ムサシアブミ群集","61402","09"
"06","61402C","ムサシアブミ－タブ群集","61402","09"
"06","61500","カゴノキ群落","61500","09"
"06","61600","ホソバタブ群落","61600","09"
"06","61700","ウバメガシ群落","61700","09"
"06","61700A","ウバメガシ群落","61700","09"
"06","61700B","マルバニッケイ群落","61700","09"
"06","61700C","モクタチバナ群落","61700","09"
"06","61701","ウバメガシ－トベラ群集","61701","09"
"06","61701A","ウバメガシ－トベラ群集","61701","09"
"06","61701B","トベラ－ウバメガシ群集","61701","09"
"06","61702","マサキ－トベラ群集","61702","09"
"06","61702A","マサキ－トベラ群集","61702","09"
"06","61702B","トベラ－マサキ群集","61702","09"
"06","61702C","クロマツ－トベラ群落","61702","09"
"06","61703","オニヤブソテツ－ハマビワ群集","61703","09"
"06","61703A","オニヤブソテツ－ハマビワ群集","61703","09"
"06","61703B","ハマビワ－オニヤブソテツ群集","61703","09"
"06","61706","アカテツ－ハマビワ群集","61706","09"
"06","61800","アカマツ群落","61800","09"
"06","61800A","アカマツ群落","61800","09"
"06","61800B","アカマツ－イスノキ群落","61800","09"
"06","61900","クロマツ群落","61900","09"
"06","61900A","クロマツ群落","61900","09"
"06","62000","フサザクラ群団","62000","09"
"06","62000A","フサザクラ群団","62000","09"
