"植生区分コード","群落コード","群落名","集約群落コード","自然度コード"
"06","62000B","フサザクラ－タマアジサイ群集","62000","09"
"06","62000C","ラセイタタマアジサイ－ガクアジサイ群集","62000","09"
"06","62000D","オオバヤシャブシ－ラセイタタマアジサイ群落","62000","09"
"06","62100","ハンノキ群落","62100","09"
"06","62100A","ハンノキ群落","62100","09"
"06","62100B","ハンノキ林","62100","09"
"06","62200","河辺ヤナギ群落","62200","09"
"06","62200A","河辺ヤナギ低木群落","62200","09"
"06","62200B","河辺低木林","62200","09"
"06","62200E","アキニレ群落","62200","09"
"06","62200F","河辺ヤナギ低木林","62200","09"
"06","62200G","河辺低木ヤナギ群落","62200","09"
"06","62200H","河辺低木群落","62200","09"
"06","62201C","ネコヤナギ－タチヤナギ群落","62200","09"
"06","62202D","カワラハンノキ群落","62200","09"
"06","62300","ソテツ群落","62300","09"
"06","62400","ビロウ群落","62400","09"
"06","62400A","ビロウ群落","62400","09"
"06","62400B","ビロウ群落、ヤエヤマヤシ群落","62400","09"
"06","62400C","ビロウ群落、ヤシ群落","62400","09"
"06","62500","ナガミボチョウジ－クスノハカエデ群落","62500","09"
"06","62500A","ナガミボチョウジ－クスノハカエデ群落","62500","09"
"06","62500B","リュウキュウガキ－ナガミボチョウジ群落","62500","09"
"06","62600","マングローブ群落","62600","09"
"06","62800","ガジュマル－クロヨナ群集","62800","09"
"06","62900","アカギ群落","62900","09"
"06","63100","サガリバナ－サキシマスオウノキ群落","63100","09"
"06","63100B","サガリバナ－サキシマスオウ群落","63100","09"
"06","63200","リュウキュウマツ群落","63200","09"
"06","63300","コウヤマキ群落","63300","09"
"06","63400","ヤブツバキ群落","63400","09"
"06","63400B","ヤブツバキ林","63400","09"
"06","63500","イヌツゲ－ハイノキ群落","63500","09"
"06","63600","ツクバネガシ群落","63600","09"
"06","63700","クスノキ群落","63700","09"
"06","63800","ムニンヒメツバキ－コブガシ群集","63800","09"
"06","63900","ムニンヒメツバキ－シマオオタニワタリ群集","63900","09"
"06","64000","シマホルトノキ－ウドノキ群集","64000","09"
"06","64100","オガサワラボチョウジ－セキモンウライソウ群集","64100","09"
"06","64200","モクタチバナ－セキモンノキ群集","64200","09"
"06","64300","ハスノハギリ－モモタマナ群集","64300","09"
"06","64400","モモタマナ－テリハボク群落","64400","09"
"06","64500","オガサワラビロウ－タコノキ群集","64500","09"
"06","64600","タコノキ群落","64600","09"
"06","64700","ワダンノキ群集","64700","09"
"06","64800","コバノアカテツ－ムニンアオガンピ群集","64800","09"
"06","65000","コバノアカテツ－シマイスノキ群集","65000","09"
"06","65300","ハスノハギリ群集","65300","09"
"06","65400","イワシデ群落","65400","09"
"06","65400A","イワシデ群落","65400","09"
"06","65400B","イワシデ－イワツクバネウツギ群集","65400","09"
"06","65500","クヌギ群落","65500","09"
"06","65600","イヌマキ－ヒトツバ群落","65600","09"
"06","65700","シラカシ・ケヤキ屋敷林","65700","09"
"06","65800","ナギ群落","65800","09"
"06","65900","ガクアジサイ－ヒサカキ群落","65900","09"
"06","66000","チギ－オオバシロテツ群集","66000","09"
"06","66100","ハナガガシ群落","66100","09"
"06","66200","モクタチバナ－テリハコブガシ群集","66200","09"
"06","66300","岩壁植生","66300","10"
"07","70100","コナラ群落","70100","07"
"07","70100A","コナラ群落","70100","07"
"07","70100B","アベマキ群落","70100","07"
"07","70100C","クヌギ－コナラ群落","70100","07"
"07","70101","クヌギ－コナラ群集","70101","07"
"07","70101A","クヌギ－コナラ群集","70101","07"
"07","70101C","コナラ－クヌギ群集","70101","07"
"07","70101D","アカマツ－コナラ群落","70101","07"
"07","70103","コナラ－オニシバリ群集","70103","07"
"07","70103B","オニシバリ－コナラ群集","70103","07"
"07","70104","コナラ－クリ群落","70104","07"
"07","70104B","コナラ－クリ群集","70104","07"
"07","70106","コナラ－ノグルミ群落","70106","07"
"07","70106A","ヒトツバタゴ群落","70106","07"
"07","70106B","クヌギ群落","70101","07"
"07","70200","シイ・カシ萌芽林","70200","08"
"07","70200A","シイ・カシ萌芽林","70200","08"
"07","70200B","ウバメガシ－クロマツ群落","70200","08"
"07","70200C","シイ－カシ萌芽林","70200","08"
"07","70200D","シイ萌芽林","70200","08"
"07","70200E","噴火の被害が軽微なシイ萌芽林","70200","08"
"07","70200F","噴火の被害が激甚なシイ萌芽林","70200","08"
"07","70201","ハクサンボク－マテバシイ群落","70201","08"
"07","70201A","ハクサンボク－マテバシイ群落","70201","08"
"07","70201B","マテバシイ－ハクサンボク群落","70201","08"
"07","70202","オオシマザクラ－オオバエゴノキ群集","70202","08"
"07","70202A","オオシマザクラ－オオバエゴノキ群集","70202","08"
"07","70202B","噴火の被害が軽微なオオシマザクラ－オオバエゴノキ群集","70202","08"
"07","70202C","噴火の被害が激甚なオオシマザクラ－オオバエゴノキ群集","70202","08"
"07","70203","タブ－ヤブニッケイ幼木林","70203","08"
"07","70203A","タブ－ヤブニッケイ幼木林","70203","08"
"07","70203B","タブノキ－ヤブニッケイ幼木林","70203","08"
"07","70203C","タブ－ヤブニッケイ萌芽林","70203","08"
"07","70203D","ヤブニッケイ－タブ群落","70203","08"
"07","70300","伐跡群落","70300","04"
"07","70300A","伐跡群落","70300","04"
"07","70300D","伐採跡群落","70300","04"
"07","70301C","ベニバナボロギク－ダンドボロギク群落","70300","04"
"07","70301F","ベニバナボロギク－ダンドボロギク群集","70300","04"
"07","70302E","クサイチゴ－タラノキ群集","70300","04"
"07","70400","ササ・タケ群落","70400","05"
"07","70400A","ササ・タケ群落","70400","05"
"07","70400D","ヤダケ群落","70400","05"
"07","70400E","メダケ群落","70400","05"
"07","70400I","ホウライチク群落","70400","05"
"07","70400J","ホテイチク群落","70400","05"
"07","70401B","ヤダケ－メダケ群落","70400","05"
"07","70401C","メダケ－ヤダケ群落","70400","05"
"07","70402F","ダンチク群落","70400","05"
"07","70403H","リュウキュウチク群落","70400","05"
"07","70404G","ホウライチク－ゴキダケ群落","70400","05"
"07","70500","ギンネム群落","70500","05"
"07","70600","ススキ群団","70600","05"
"07","70600A","ススキ群団","70600","05"
"07","70600B","ススキ群落","70600","05"
"07","70600H","ススキ－トダシバ群集","70600","05"
"07","70600L","ススキ・ササ草地","70600","05"
"07","70601C","ネザサ－ススキ群集","70600","05"
"07","70601I","ネザサ－ススキ群落","70600","05"
"07","70601M","ススキ－ネザサ群集","70600","05"
"07","70602D","アズマネザサ－ススキ群集","70600","05"
"07","70602E","ススキ－アズマネザサ群集","70600","05"
"07","70602J","アジマネザサ－ススキ群落","70600","05"
"07","70603F","チガヤ－ススキ群落","70600","05"
"07","70603G","ススキ－チガヤ群落","70600","05"
"07","70603K","チガヤ－ススキ群集","70600","05"
"07","70603N","チガヤ群落","70600","05"
"07","70700","シバ群団","70700","04"
"07","70700B","シバ群落","70700","04"
"07","70800G","ハイキビ群落","70900","04"
"07","70900","路傍雑草群落","70900","04"
"07","70900A","路傍雑草群落","70900","04"
"07","70900E","ミノボロスゲ－オオバコ群落","70900","02"
"07","70900H","空地・埋立地植物群落","70900","02"
"07","70900I","踏跡群落","70900","02"
"07","70900J","踏跡群落・路傍雑草群落","70900","02"
"07","70901B","クズ－カナムグラ群落","70900","04"
"07","70902C","セイダカアワダチソウ群落","70900","02"
"07","70903D","ヨモギ群落","70900","04"
"07","71000","アカマツ群落","71000","07"
"07","71000A","アカマツ群落","71000","07"
"07","71000B","アカマツ－アカガシ群落","71000","07"
"07","71001","ヤマツツジ－アカマツ群集","71001","07"
"07","71001A","ヤマツツジ－アカマツ群集","71001","07"
"07","71001B","アカマツ－ヤマツツジ群集","71001","07"
"07","71002","オンツツジ－アカマツ群集","71002","07"
"07","71002A","オンツツジ－アカマツ群集","71002","07"
"07","71002B","アカマツ－オンツツジ群集","71002","07"
"07","71003","モチツツジ－アカマツ群集","71003","07"
"07","71003B","アカマツ－モチツツジ群集","71003","07"
"07","71004","コバノミツバツツジ－アカマツ群集","71004","07"
"07","71004A","コバノミツバツツジ－アカマツ群集","71004","07"
"07","71100","クロマツ群落","71100","07"
"07","72000","林縁性つる－低木群落","72000","05"
"07","72000A","林縁性つる－低木群落","72000","05"
"07","72000B","クズ群落","72000","05"
"07","72000C","マント群落","72000","05"
"07","72000D","クサトケイソウ群落","72000","05"
"07","72000E","マタタビ－ノブドウ群落","72000","05"
"07","72100","ヤブムラサキ－コナラ群落","72100","07"
"07","72100B","ヤブムラサキ－コナラ群集","72100","07"
"07","72200","ウバメガシ萌芽林","72200","08"
"07","72300","ヤブニッケイ－ヤマヤブソテツ群集","72300","08"
"07","72400","アカガシ萌芽林","72400","08"
"07","72500","コシダ－ウラジロ群落","72500","07"
"07","72500B","コシダ群落","72500","07"
"07","72600","アカシデ－イヌシデ群落","72600","07"
"07","72600B","イヌシデ－アカシデ群落","72600","07"
"07","72600C","シキミ－イヌシデ群落","72600","07"
"07","72700","オオバヤシャブシ群落","72700","07"
"07","72700B","オオバヤシャブシ二次林","72700","07"
"07","72700C","オオバヤシャブシ－ニオイウツギ群集","72700","07"
"07","72700D","噴火の被害が軽微なオオバヤシャブシ二次林","72700","07"
"07","72800","ニセアカシア群落","72800","07"
"07","72900","モミ群落","72900","07"
"07","73000","ツルダコ群落","73000","07"
"07","73100","マルハチ群集","73100","07"
"07","73200","シロガネムクノキ群集","73200","07"
"07","73300","オガサワラモクマオ群集","73300","07"
"07","73400","アカギ群落","73400","07"
"07","73500","アカマツ－サイゴクミツバツツジ群集","73500","07"
"07","73600","イヌシデ群落","73600","07"
"07","73700","アオノリュウゼツラン群落","73700","05"
"07","73800","アオモジ群落","73800","05"
"07","73900","アカメガシワ－カラスザンショウ群落","73900","05"
"07","74000","オニチカラシバ群落","74000","04"
"07","74100","クサギ－アカメガシワ群団","74100","07"
"07","74200","ケヤキ－シラカシ群落","74200","07"
"07","74300","コトブキギク－モンパノキ群落","74300","05"
"07","74400","サイザルアサ群落","74400","05"
"07","74500","シチヘンゲ群落","74500","05"
"07","74600","シマチカラシバ－スズメノコビエ群落","74600","05"
"07","74700","スズメノコビエ－シマスズメノヒエ群落","74700","05"
"07","74800","トベラ－マサキ萌芽林","74800","07"
"07","74900","ハタガヤ－キバナヒメフウチョウソウ群落","74900","05"
"07","75000","ハチジョウアザミ群落","75000","05"
"07","75100","ハリケンススキ群落","75100","05"
"07","75200","ヒサカキ二次低木林","75200","05"
"07","75300","フサザクラ群落","75300","07"
"07","75400","ホクチガヤ群落","75400","05"
"07","75500","河辺落葉高木群落","75500","07"
"07","75600","崩壊地・のり面草本植生","75600","05"
"07","75700","落葉低木群落","75700","07"
"08","80100","ツルコケモモ－ミズゴケクラス","80100","10"
"08","80100A","ツルコケモモ－ミズゴケクラス","80100","10"
"08","80100B","高層湿原","80100","10"
"08","80200","ヌマガヤオーダー","80200","10"
"08","80200A","ヌマガヤオーダー","80200","10"
"08","80200B","中間湿原","80200","10"
"08","80300","ヨシクラス","80300","10"
"08","80300A","ヨシクラス","80300","10"
"08","80300B","ヨシ群落","80300","10"
"08","80300C","低層湿原","80300","10"
"08","80300D","湿地植生","80300","10"
"08","80301","ミゾソバ－ヨシ群落","80301","05"
"08","80400","ウキクサクラス・ヒルムシロクラス","80400","10"
"08","80400A","ウキクサクラス・ヒルムシロクラス","80400","10"
"08","80400B","ウキクサクラス","80400","10"
"08","80400C","水生植物群落","80400","10"
"08","80400D","浮葉・沈水植物群落","80400","10"
"08","80500","ツルヨシ群集","80500","10"
"08","80500A","ツルヨシ群集","80500","10"
"08","80500B","ツルヨシ群落","80500","10"
"08","80500C","ツルヨシ群落など","80500","10"
"08","80600","オギ群集","80600","10"
"08","80600A","オギ群集","80600","10"
"08","80600D","河原荒地・草地","80600","10"
"08","80600E","河川敷砂礫地植生","80600","10"
"08","80600F","オギ群集など","80600","10"
"08","80600G","ホッスガヤ群落","80600","10"
"08","80700","塩沼地植生","80700","10"
"08","80700A","塩沼地植生","80700","10"
"08","80700C","塩沼地群落","80700","10"
"08","80700D","ヒトモトススキ群落","80700","10"
"08","80700E","ハマジンチョウ群落","80700","10"
"08","80700F","シオクグ群落","80700","10"
"08","80701","アマモクラス","80701","10"
"08","80703","ハママツナ－ハマサジ群落","80703","10"
"08","80800","ハマボウ群落","80800","10"
"08","80800A","ハマボウ群落","80800","10"
"08","80800B","オオハマボウ群集","80800","10"
"08","80900","砂丘植生","80900","10"
"08","80900A","砂丘植生","80900","10"
"08","80900B","海岸砂丘植生","80900","10"
"08","80900D","ツキイゲ群落","80900","10"
"08","80900E","ハマゴウ群落","80900","10"
"08","80900F","砂丘植物","80900","10"
"08","80901","ハマニンニク－コウボウムギ群落","80901","10"
"08","80904","ハマナス群落","80904","10"
"08","80905","オカヒジキ－ハマベンケイソウ群落","80905","10"
"08","80906","グンバイヒルガオ－クロイワザサ群落","80906","10"
"08","80906B","グンバイヒルガオ群落","80906","10"
"08","81000","ハチジョウススキ群落","81000","10"
"08","81000A","ハチジョウススキ群落","81000","10"
"08","81000C","ハチジョウススキ－イソギク群集","81000","10"
"08","81001","イソギク－ハチジョウススキ群集","81001","10"
"08","81003F","ノジギク群落","82300","10"
"08","81006B","オキナワギク－ハチジョウススキ群集","81000","10"
"08","81200","石灰岩地植物群落","81200","10"
"08","81200A","石灰岩地植物群落","81200","10"
"08","81200B","石灰岩地植生","81200","10"
"08","81200D","コハマギク群落","82300","10"
"08","81300","コウライシバ群落","81300","10"
"08","81300A","コウライシバ群落","81300","10"
"08","81300B","シバ草原","81300","10"
"08","81300C","ソナレシバ群落","81300","10"
"08","81300D","ハイシバ群落","81300","10"
"08","81400","隆起珊瑚礁植生","81400","10"
"08","81400A","隆起珊瑚礁植生","81400","10"
"08","81400B","コハマジンチョウ群集","81400","10"
"08","81400C","隆起サンゴ礁植生","81400","10"
"08","81401","イソマツ－モクビャッコウ群集","81401","10"
"08","81401B","モクビャッコウ群落","81401","10"
"08","81402","クサトベラ－モンパノキ群集","81402","10"
"08","81402B","モンパノキ群落","81402","10"
"08","81602","オオバヤシャブシ－ニオイウツギ群集","81602","09"
"08","81700","火山荒原植生・硫気孔原植生","81700","10"
"08","81700A","火山荒原植生・硫気孔原植生","81700","10"
"08","81700B","イタドリ－コメススキ群落","81700","10"
"08","81700C","火山荒原植生","81700","10"
"08","81700G","ヤシャブシ群落","81700","10"
"08","81700I","荒原植物群落","81700","10"
"08","81700J","火山荒原植物群落","81700","10"
"08","81700K","火山性ヤシャブシ群落","81700","10"
"08","81700L","クロマツ－ヤシャブシ群落","81700","10"
"08","81700M","コケ型火山荒原","81700","10"
"08","81700O","ハチジョウイタドリ群落","81700","10"
"08","81701D","イタドリ－タマシダ群落","81700","10"
"08","81702N","シマタヌキラン－ハチジョウイタドリ群集","81700","10"
"08","81800H","硫気孔原植生","81700","10"
"08","81900","湿原","81900","10"
"08","82000","ニセアカシア河敷林","82000","07"
"08","82100","ハマグルマ－コウボウムギ群落","82100","10"
"08","82100B","ハマグルマ－コウボウムギ群集","82100","10"
"08","82200","ハマグルマ－ハマゴウ群落","82200","10"
"08","82200B","ハマグルマ－ハマゴウ群集","82200","10"
"08","82300","海崖草本植物群落","82300","10"
"08","82300A","海崖草本植物群落","82300","10"
"08","82300B","海岸段崖植生","82300","10"
"08","82300C","海崖植生","82300","10"
"08","82300E","クサトベラ群落","82300","10"
"08","82500","オガサワラススキ群集","82500","10"
"08","82600","ホナガソウ群落","82600","10"
"08","82700","ハイビャクシン群落","82700","10"
"08","82800","アダン－オオハマボウ群落","82800","10"
"08","82900","塩生植生","82900","10"
"08","83000","カワラヨモギ群落","83000","10"
"08","83100","アカメガシワ－カニクサ群落","83100","10"
"08","83200","イガガヤツリ群落","83200","10"
"08","83300","オオバヤシャブシ－ハチジョウススキ群落","83300","10"
"08","83400","クグテンツキ－フタバムグラ群落","83400","10"
"08","83500","スベリヒユ－オヒシバ群落","83500","10"
"08","83600","トゲミウドノキ群落","83600","10"
"08","83700","ホシクサ－コイヌノハナヒゲ群団","83700","10"
"08","83800","タマシダ群落","83800","10"
"09","90100","常緑針葉樹植林","90100","06"
"09","90100A","常緑針葉樹植林","90100","06"
"09","90100B","マツ植林","90100","06"
"09","90100E","リュウキュウマツ林","90100","06"
"09","90100I","イヌマキ植林","90100","06"
"09","90101","アカマツ植林","90101","06"
"09","90101A","アカマツ植林","90101","06"
"09","90102","クロマツ植林","90102","06"
"09","90102A","クロマツ植林","90102","06"
"09","90102B","海岸砂丘地クロマツ植林","90102","06"
"09","90103","スギ・ヒノキ・サワラ植林","90103","06"
"09","90103A","スギ・ヒノキ・サワラ植林","90103","06"
"09","90103B","スギ・ヒノキ植林","90103","06"
"09","90103C","スギ植林","90103","06"
"09","90104","エゾマツ植林","90104","06"
"09","90105","トドマツ植林","90105","06"
"09","90106","アカエゾマツ植林","90106","06"
"09","90107C","ウラジロモミ植林","90100","06"
"09","90108D","リュウキュウマツ植林","90100","06"
"09","90110F","ヒノキアスナロ植林","90100","06"
"09","90115H","シラビソ植林","90100","06"
"09","90200","落葉針葉樹植林","90200","06"
"09","90200A","落葉針葉樹植林","90200","06"
"09","90201B","カラマツ植林","90200","06"
"09","90300","外国産針葉樹植林","90300","03"
"09","90300A","外国産針葉樹植林","90300","03"
"09","90400","常緑広葉樹植林","90400","06"
"09","90400A","常緑広葉樹植林","90400","06"
"09","90400C","ガジュマル林","90400","06"
"09","90400D","ツゲ植林","90400","06"
"09","90400E","ヤブツバキ植林","90400","06"
"09","90401B","クスノキ植林","90400","06"
"09","90402","マテバシイ植林","90402","06"
"09","90500","落葉広葉樹植林","90500","06"
"09","90500A","落葉広葉樹植林","90500","06"
"09","90500B","クヌギ植林","90500","06"
"09","90500C","クヌギ群落","90500","06"
"09","90500D","サクラ植林","90500","06"
"09","90500F","クヌギ－コナラ植林","90500","06"
"09","90500G","ケヤキ植林","90500","06"
"09","90500I","落葉広葉樹","90500","06"
"09","90500J","オオバヤシャブシ植林","90500","06"
"09","90500K","オニグルミ植林","90500","06"
"09","90507E","ヤマハンノキ植林","90500","06"
"09","90507H","ケヤマハンノキ植林","90500","06"
"09","90600","外国産広葉樹植林","90600","03"
"09","90600A","外国産広葉樹植林","90600","03"
"09","90600C","モクマオウ林","90600","03"
"09","90600D","外国産樹種植林","90600","03"
"09","90600E","ニセアカシア植林","90600","03"
"09","90600G","モクマオウ植林","90600","03"
"09","90600H","ソウシジュ林","90600","03"
"09","90600I","ソウシジュ植林","90600","03"
"09","90700","竹林","90700","07"
"09","90700A","竹林","90700","07"
"09","90700C","モウソウチク植林","90700","07"
"09","90700F","マダケ林","90700","07"
"09","90700G","ホウライチク林","90700","07"
"09","90700H","ホテイチク林","90700","07"
"09","90701B","モウソウチク林","90700","07"
"09","90702D","マダケ・ハチク林","90700","07"
"09","90800","常緑果樹園","90800","03"
"09","90900","落葉果樹園","90900","03"
"09","90900A","落葉果樹園","90900","03"
"09","90900D","落葉果樹園・ハゼノキ植栽","90900","03"
"09","91000","桑園","91000","03"
"09","91000B","桑畑","91000","03"
"09","91100","茶畑","91100","03"
"09","91100B","茶園","91100","03"
"09","91200","苗圃","91200","03"
"09","91300","畑地雑草群落","91300","02"
"09","91300A","畑地雑草群落","91300","02"
"09","91300B","畑地","91300","02"
"09","91300D","耕作畑雑草群落","91300","02"
"09","91400","休耕畑地雑草群落","91400","04"
"09","91400A","休耕畑地雑草群落","91400","04"
"09","91400B","ヒメムカシヨモギ－オオアレチノギク群落","91400","04"
"09","91400D","耕作放棄地雑草群落","91400","04"
"09","91400E","休耕畑地","91400","04"
"09","91400G","オオアレチノギク－ヒメムカシヨモギ群落","91400","04"
"09","91500","牧草地","91500","02"
"09","91500A","牧草地","91500","02"
"09","91500C","人工草地","91500","02"
"09","91500D","牧草地、ゴルフ場、飛行場","91500","02"
"09","91500E","ゴルフ場、公園芝地、シバ－チドメグサ群集","91500","02"
"09","91500F","牧草地、人工草地","91500","02"
"09","91500G","牧草地、ゴルフ場、スキー場","91500","02"
"09","91500H","飛行場","91500","02"
"09","91500I","牧草地、飛行場","91500","02"
"09","91500J","ゴルフ場、飛行場の芝地","91500","02"
"09","91500K","牧草地、ゴルフ場","91500","02"
"09","91500L","牧草地、ゴルフ場、採草地","91500","02"
"09","91500N","人工草地、ゴルフ場","91500","02"
"09","91500O","牧草地、ゴルフ場、飛行場、採草地","91500","02"
"09","91501B","ゴルフ場","91500","02"
"09","91501M","ゴルフ場、飛行場","91500","02"
"09","91600","水田雑草群落","91600","02"
"09","91600A","水田雑草群落","91600","02"
"09","91600B","水田","91600","02"
"09","91700","休耕田雑草群落","91700","04"
"09","91700A","休耕田雑草群落","91700","04"
"09","91700B","休耕田","91700","04"
"09","91700C","ヨシ群落","91700","04"
"09","91800","テリハボク林","91800","06"
"09","91900","オオハマボウ林","91900","06"
"09","92000","ビロウ植林","92000","06"
"09","92100","マルバアキグミ植林","92100","06"
"10","A0000","不明区分","A0000","00"
"10","A0100","市街地","A0100","01"
"10","A0100A","市街地","A0100","01"
"10","A0100B","集落","A0100","01"
"10","A0200","緑の多い住宅地","A0200","02"
"10","A0200A","緑の多い住宅地","A0200","02"
"10","A0200B","公園、墓地","A0200","02"
"10","A0200C","公園、墓地等","A0200","02"
"10","A0200D","公園","A0200","02"
"10","A0200E","緑の多い住宅地、公園、樹苑等","A0200","02"
"10","A0200F","緑の多い住宅地、公園、墓地","A0200","02"
"10","A0200G","緑の多い住宅地、公園、墓地等","A0200","02"
"10","A0200H","緑の多い住宅地、公園、運動公園、研究所、墓地等","A0200","02"
"10","A0200I","緑の多い住宅地、公園、墓地、樹苑等","A0200","02"
"10","A0200J","緑の多い住宅地、墓地、公園等","A0200","02"
"10","A0300","工場地帯","A0300","01"
"10","A0300B","工業地帯","A0300","01"
"10","A0300C","工場","A0300","01"
"10","A0400","造成地","A0400","01"
"10","A0400A","造成地","A0400","01"
"10","A0400E","造成地、採石場","A0400","01"
"10","A0400G","造成地、採石場、人為裸地","A0400","01"
"10","A0400H","造成地、採石場、人為裸地、焼跡","A0400","01"
"10","A0400J","造成地、ボタ山、採石場","A0400","01"
"10","A0400K","造成地、採石地","A0400","01"
"10","A0400L","造成地、裸地","A0400","01"
"10","A0402C","ボタ山","A0400","01"
"10","A0403D","採石場","A0400","01"
"10","A0403I","採石地","A0400","01"
"10","A0500","干拓地","A0500","01"
"10","A0600","開放水域","A0600","99"
"10","A0600A","開放水域","A0600","99"
"10","A0600C","開放水域","A0600","99"
"10","A0700","自然裸地","A0700","98"
"10","A0900","廃塩田","A0900","01"
"10","A1000","広いコンクリート地","A1000","01"
